	tconst	averageRating	numVotes	primaryTitle	startYear	runtimeMinutes	genres
7197	tt0023891	6.4	1024	Christopher Strong	1933	78	Drama,Romance
7219	tt0023926	6.7	1645	Dancing Lady	1933	92	Comedy,Musical,Romance
7226	tt0023937	7.5	1024	Dekigokoro	1933	100	Drama
7229	tt0023940	7.6	4521	Design for Living	1933	91	Comedy,Romance
7232	tt0023943	7.2	1512	The Devil's Brother	1933	90	Comedy,Musical
7236	tt0023948	7.8	6443	Dinner at Eight	1933	111	Comedy,Drama
7251	tt0023969	8.0	50217	Duck Soup	1933	68	Comedy,Musical,War
7279	tt0024008	6.8	1314	Female	1933	60	Comedy,Drama,Romance
7291	tt0024025	6.7	2866	Flying Down to Rio	1933	89	Comedy,Musical,Romance
7294	tt0024028	7.7	3792	Footlight Parade	1933	104	Comedy,Musical,Romance
7298	tt0024034	7.6	8911	42nd Street	1933	89	Comedy,Musical,Romance
7316	tt0024055	5.9	1798	The Ghoul	1933	77	Action,Drama,Horror
7325	tt0024067	7.9	1446	Going Hollywood	1933	78	Musical,Romance
7326	tt0024069	8.1	6027	Gold Diggers of 1933	1933	97	Comedy,Drama,Musical
7359	tt0024115	7.8	1808	Heroes for Sale	1933	76	Drama,War
7368	tt0024127	6.8	1215	Our Flags Lead Us Forward	1933	95	Drama
7369	tt0024130	6.9	1073	Hold Your Man	1933	87	Drama,Romance
7394	tt0024166	7.0	2481	I'm No Angel	1933	87	Comedy,Musical,Romance
7401	tt0024183	7.2	1035	International House	1933	68	Comedy
7402	tt0024184	7.7	24022	The Invisible Man	1933	71	Horror,Sci-Fi
7405	tt0024188	7.5	6538	Island of Lost Souls	1932	70	Horror,Sci-Fi
7420	tt0024210	7.0	2278	The Kennel Murder Case	1933	73	Mystery
7426	tt0024216	7.9	70249	King Kong	1933	100	Adventure,Horror,Sci-Fi
7441	tt0024238	6.7	1087	Ladies They Talk About	1933	69	Crime,Drama,Romance
7442	tt0024239	7.0	1316	Lady Killer	1933	76	Comedy,Crime
7443	tt0024240	7.5	3112	Lady for a Day	1933	96	Comedy
7451	tt0024252	7.7	1089	Liebelei	1933	88	Drama,Romance
7458	tt0024264	7.4	5201	Little Women	1933	115	Drama,Family,Romance
7484	tt0024302	7.4	1088	Man's Castle	1933	75	Drama,Romance
7490	tt0024314	7.0	1137	The Mayor of Hell	1933	90	Crime,Drama,Romance
7518	tt0024353	6.6	2163	Morning Glory	1933	74	Drama,Romance
7532	tt0024368	6.9	3732	Mystery of the Wax Museum	1933	77	Horror,Mystery,Thriller
7568	tt0024433	7.9	1164	Peg o' My Heart	1933	87	Drama,Romance
7582	tt0024450	7.1	1142	Picture Snatcher	1933	77	Crime,Drama
7597	tt0024473	7.2	2999	The Private Life of Henry VIII.	1933	97	Biography,Comedy,Drama
7603	tt0024481	7.8	6150	Queen Christina	1933	99	Biography,Drama,History
7640	tt0024548	6.5	4620	She Done Him Wrong	1933	66	Comedy,Drama,History
7671	tt0024593	5.8	3201	The Son of Kong	1933	70	Adventure,Comedy
7679	tt0024601	7.7	6272	Sons of the Desert	1933	68	Comedy
7753	tt0024727	5.7	1651	The Vampire Bat	1933	65	Drama,Horror,Mystery
7780	tt0024772	7.5	1470	Wild Boys of the Road	1933	68	Adventure,Drama
7837	tt0024844	7.9	11835	L'Atalante	1934	89	Comedy,Drama,Romance
7842	tt0024852	7.4	5060	Babes in Toyland	1934	77	Comedy,Family,Fantasy
7852	tt0024865	7.0	1281	The Barretts of Wimpole Street	1934	109	Biography,Drama,Romance
7875	tt0024894	7.1	7421	The Black Cat	1934	65	Adventure,Crime,Horror
7881	tt0024902	5.4	1135	Blue Steel	1934	54	Western
7890	tt0024914	7.3	1724	Bright Eyes	1934	85	Comedy,Drama,Family
7928	tt0024968	7.4	1569	Charlie Chan in London	1934	79	Crime,Drama,Mystery
7941	tt0024991	6.9	2878	Cleopatra	1934	100	Biography,Drama,History
7949	tt0025004	7.6	1994	The Count of Monte Cristo	1934	113	Action,Adventure,Drama
